Date,Open,High,Low,Close
01-02-2024,402.84,0,0,399.62
01-03-2024,399.62,0,0,398.03
01-04-2024,398.03,0,0,397.87
01-05-2024,397.87,0,0,398.17
01-08-2024,398.17,0,0,405.08
01-09-2024,405.08,0,0,408.89
01-10-2024,408.89,0,0,411.3
01-11-2024,411.3,0,0,410.86
01-12-2024,410.86,0,0,410.03
01-16-2024,410.03,0,0,411.23
01-17-2024,411.23,0,0,412.26
01-18-2024,412.26,0,0,414.71
01-19-2024,414.71,0,0,420.63
01-22-2024,420.63,0,0,418.96
01-23-2024,418.96,0,0,420.0
01-24-2024,420.0,0,0,418.4
01-25-2024,418.4,0,0,416.4
01-26-2024,416.4,0,0,415.77
01-29-2024,415.77,0,0,419.62
01-30-2024,419.62,0,0,417.83
01-31-2024,417.83,0,0,413.98
02-01-2024,413.98,0,0,417.05
02-02-2024,417.05,0,0,422.22
02-05-2024,422.22,0,0,421.6
02-06-2024,421.6,0,0,419.59
02-07-2024,419.59,0,0,421.16
02-08-2024,421.16,0,0,421.83
02-09-2024,421.83,0,0,424.92
02-12-2024,424.92,0,0,423.33
02-13-2024,423.33,0,0,424.59
02-14-2024,424.59,0,0,426.54
02-15-2024,426.54,0,0,427.13
02-16-2024,427.13,0,0,422.84
02-20-2024,422.84,0,0,421.62
02-21-2024,421.62,0,0,422.67
02-22-2024,422.67,0,0,426.22
02-23-2024,426.22,0,0,423.37
02-26-2024,423.37,0,0,422.33
02-27-2024,422.33,0,0,422.26
02-28-2024,422.26,0,0,422.1
02-29-2024,422.1,0,0,422.86
03-01-2024,422.86,0,0,428.53
03-04-2024,428.53,0,0,426.95
03-05-2024,426.95,0,0,422.1
03-06-2024,422.1,0,0,420.58
03-07-2024,420.58,0,0,423.59
03-08-2024,423.59,0,0,416.85
03-11-2024,416.85,0,0,416.73
03-12-2024,416.73,0,0,420.63
03-13-2024,420.63,0,0,418.25
03-14-2024,418.25,0,0,415.91
03-15-2024,415.91,0,0,413.78
03-18-2024,413.78,0,0,412.54
03-19-2024,412.54,0,0,415.64
